English transcription;latitude;longitude;metro_line_1;metro_line_2;metro_line_3;metro_line_4;metro_line_5;metro_line_6;metro_line_7;metro_line_8;metro_line_9;metro_line_10;metro_line_11;metro_line_12;metro_line_13;metro_line_14;metro_line_15
Krymskaya;55.69;37.605;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Ploshchad Gagarina;55.7069;37.5858;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Luzhniki;55.7203;37.5631;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Kutuzovskaya;55.7408;37.5333;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Delovoy Tsentr;55.7472;37.5322;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
Shelepikha;55.7575;37.5256;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
Khoroshyovo;55.7772;37.5072;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
Zorge;55.7878;37.5045;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Panfilovskaya;55.7991;37.4988;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Streshnevo;55.8136;37.4869;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Baltiyskaya;55.8258;37.4961;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Koptevo;55.8397;37.5203;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Likhobory;55.8472;37.5513;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Elektrozavodskaya;55.780292;37.703013;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Lefortovo;55.764738;37.706747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Aviamotornaya;55.75367;37.719149;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Nizhegorodskaya;55.731748;37.730076;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Stakhanovskaya;55.725;37.7619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Okskaya;55.7186;37.7817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Yugo-Vostochnaya;55.70497;37.81901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Kosino;55.7033;37.8511;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
